,
Município,Taxa de desemprego 16a e+
TOTAL,"7,42"
110001 ALTA FLORESTA D'OESTE,"5,01"
110002 ARIQUEMES,"4,64"
110003 CABIXI,"2,49"
110004 CACOAL,"5,87"
110005 CEREJEIRAS,"5,24"
110006 COLORADO DO OESTE,"6,32"
110007 CORUMBIARA,"3,45"
110008 COSTA MARQUES,"4,64"
110009 ESPIGAO D'OESTE,"4,51"
110010 GUAJARA-MIRIM,"6,84"
110011 JARU,"5,16"
110012 JI-PARANA,"5,61"
110013 MACHADINHO D'OESTE,"3,64"
110014 NOVA BRASILANDIA D'OESTE,"3,54"
110015 OURO PRETO DO OESTE,"7,35"
110018 PIMENTA BUENO,"5,24"
110020 PORTO VELHO,"5,63"
110025 PRESIDENTE MEDICI,"5,24"
110026 RIO CRESPO,"6,81"
110028 ROLIM DE MOURA,"6,50"
110029 SANTA LUZIA D'OESTE,"8,29"
110030 VILHENA,"6,90"
110032 SAO MIGUEL DO GUAPORE,"3,60"
110033 NOVA MAMORE,"3,74"
110034 ALVORADA D'OESTE,"4,98"
110037 ALTO ALEGRE DOS PARECIS,"5,63"
110040 ALTO PARAISO,"2,49"
110045 BURITIS,"5,11"
110050 NOVO HORIZONTE DO OESTE,"4,04"
110060 CACAULANDIA,"3,65"
110070 CAMPO NOVO DE RONDONIA,"2,67"
110080 CANDEIAS DO JAMARI,"4,41"
110090 CASTANHEIRAS,"3,19"
110092 CHUPINGUAIA,"3,07"
110094 CUJUBIM,"5,94"
110100 GOVERNADOR JORGE TEIXEIRA,"2,17"
110110 ITAPUA DO OESTE,"5,02"
110120 MINISTRO ANDREAZZA,"2,14"
110130 MIRANTE DA SERRA,"6,33"
110140 MONTE NEGRO,"2,83"
110143 NOVA UNIAO,"3,67"
110145 PARECIS,"1,90"
110146 PIMENTEIRAS DO OESTE,"6,63"
110147 PRIMAVERA DE RONDONIA,"6,81"
110148 SAO FELIPE D'OESTE,"4,81"
110149 SAO FRANCISCO DO GUAPORE,"4,87"
110150 SERINGUEIRAS,"4,26"
110155 TEIXEIROPOLIS,"3,40"
110160 THEOBROMA,"5,05"
110170 URUPA,"4,89"
110175 VALE DO ANARI,"3,99"
110180 VALE DO PARAISO,"3,16"
120001 ACRELANDIA,"9,04"
120005 ASSIS BRASIL,"7,68"
120010 BRASILEIA,"5,90"
120013 BUJARI,"3,41"
120017 CAPIXABA,"4,20"
120020 CRUZEIRO DO SUL,"7,62"
120025 EPITACIOLANDIA,"6,88"
120030 FEIJO,"5,80"
120032 JORDAO,"5,82"
120033 MANCIO LIMA,"5,28"
120034 MANOEL URBANO,"2,60"
120035 MARECHAL THAUMATURGO,"5,12"
120038 PLACIDO DE CASTRO,"8,02"
120039 PORTO WALTER,"2,91"
120040 RIO BRANCO,"8,69"
120042 RODRIGUES ALVES,"6,96"
120043 SANTA ROSA DO PURUS,"4,22"
120045 SENADOR GUIOMARD,"7,28"
120050 SENA MADUREIRA,"8,66"
120060 TARAUACA,"3,67"
120070 XAPURI,"4,48"
120080 PORTO ACRE,"3,57"
130002 ALVARAES,"3,09"
130006 AMATURA,"8,00"
130008 ANAMA,"7,87"
130010 ANORI,"9,38"
130014 APUI,"6,69"
130020 ATALAIA DO NORTE,"7,99"
130030 AUTAZES,"5,26"
130040 BARCELOS,"9,93"
130050 BARREIRINHA,"11,43"
130060 BENJAMIN CONSTANT,"6,13"
130063 BERURI,"5,50"
130068 BOA VISTA DO RAMOS,"7,30"
130070 BOCA DO ACRE,"8,14"
130080 BORBA,"10,00"
130083 CAAPIRANGA,"4,91"
130090 CANUTAMA,"4,69"
130100 CARAUARI,"3,84"
130110 CAREIRO,"6,91"
130115 CAREIRO DA VARZEA,"3,77"
130120 COARI,"10,51"
130130 CODAJAS,"9,11"
130140 EIRUNEPE,"7,68"
130150 ENVIRA,"11,84"
130160 FONTE BOA,"6,15"
130165 GUAJARA,"3,72"
130170 HUMAITA,"9,45"
130180 IPIXUNA,"5,07"
130185 IRANDUBA,"5,90"
130190 ITACOATIARA,"8,99"
130195 ITAMARATI,"5,86"
130200 ITAPIRANGA,"9,82"
130210 JAPURA,"11,28"
130220 JURUA,"7,67"
130230 JUTAI,"5,19"
130240 LABREA,"8,75"
130250 MANACAPURU,"9,51"
130255 MANAQUIRI,"7,46"
130260 MANAUS,"10,79"
130270 MANICORE,"7,33"
130280 MARAA,"17,67"
130290 MAUES,"4,30"
130300 NHAMUNDA,"14,30"
